service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BU,1,1,1,1,1,0,0,20240909,20241231
BexpU,1,1,1,1,1,0,0,20240909,20241231
CU,1,1,1,1,1,0,0,20240909,20241231
DU,1,1,1,1,1,0,0,20240909,20241231
FU,1,1,1,1,1,0,0,20240909,20241231
EU,1,1,1,1,1,0,0,20240909,20241231
AU,1,1,1,1,1,0,0,20240909,20241231
BS,0,0,0,0,0,1,0,20240909,20241231
CS,0,0,0,0,0,1,0,20240909,20241231
DS,0,0,0,0,0,1,0,20240909,20241231
FS,0,0,0,0,0,1,0,20240909,20241231
ES,0,0,0,0,0,1,0,20240909,20241231
AS,0,0,0,0,0,1,0,20240909,20241231
BDF,0,0,0,0,0,0,1,20240909,20241231
CDF,0,0,0,0,0,0,1,20240909,20241231
DDF,0,0,0,0,0,0,1,20240909,20241231
FDF,0,0,0,0,0,0,1,20240909,20241231
EDF,0,0,0,0,0,0,1,20240909,20241231
ADF,0,0,0,0,0,0,1,20240909,20241231
